Account ID,Subscription,Subscription Year,user age,job,marital,education,housing,loan,contact,Account Age,Count of linking accounts,default
11309,Yes,2022,53,admin.,single,professional.course,no,no,telephone,179,1,1
11310,Yes,2022,55,blue-collar,married,basic.4y,no,no,telephone,269,2,0
11311,Yes,2022,55,technician,married,professional.course,yes,no,telephone,135,1,0
11312,Yes,2022,50,management,married,university.degree,no,yes,telephone,161,1,0
11313,Yes,2022,45,services,married,high.school,yes,no,telephone,787,1,0
11314,Yes,2022,55,unemployed,married,professional.course,yes,yes,telephone,145,1,0
11315,Yes,2022,25,technician,single,university.degree,yes,no,telephone,174,1,0
11316,Yes,2022,47,entrepreneur,married,university.degree,no,no,telephone,449,1,0
11317,Yes,2022,51,blue-collar,married,basic.9y,yes,no,telephone,812,1,0
11318,Yes,2022,42,blue-collar,married,basic.6y,yes,no,telephone,164,1,0
11319,Yes,2022,42,blue-collar,married,basic.6y,no,no,telephone,366,1,0
11320,Yes,2022,48,admin.,married,high.school,no,no,telephone,357,1,0
11321,Yes,2022,37,admin.,married,university.degree,no,no,telephone,232,1,0
11322,Yes,2022,44,blue-collar,single,basic.9y,yes,no,telephone,91,1,0
11323,Yes,2022,33,admin.,married,unknown,yes,no,telephone,273,1,0
11324,Yes,2022,56,admin.,married,basic.9y,yes,no,telephone,158,2,0
11325,Yes,2022,44,blue-collar,single,basic.4y,yes,yes,telephone,177,1,0
11326,Yes,2022,41,management,married,basic.6y,no,no,telephone,200,1,0
11327,Yes,2022,44,management,divorced,university.degree,yes,no,telephone,172,1,0
11328,Yes,2022,47,admin.,married,university.degree,yes,no,telephone,176,1,0
11329,Yes,2022,57,unknown,married,unknown,no,no,telephone,211,1,0
11330,Yes,2022,37,admin.,married,university.degree,yes,no,telephone,214,1,0
11331,Yes,2022,41,blue-collar,divorced,basic.4y,yes,no,telephone,1575,1,0
11332,Yes,2022,55,technician,married,university.degree,no,no,telephone,349,1,0
11333,Yes,2022,33,services,married,high.school,yes,no,telephone,337,2,0
11334,Yes,2022,55,management,married,unknown,yes,no,telephone,272,1,0
11335,Yes,2022,42,blue-collar,married,basic.9y,no,no,telephone,208,1,0
11336,Yes,2022,50,blue-collar,married,basic.4y,yes,no,telephone,193,1,0
11337,Yes,2022,51,blue-collar,married,basic.4y,unknown,unknown,telephone,212,1,0
11338,Yes,2022,38,admin.,married,high.school,no,no,telephone,165,2,1
11339,Yes,2022,49,entrepreneur,married,university.degree,yes,no,telephone,1042,1,0
11340,Yes,2022,38,technician,single,university.degree,no,yes,telephone,20,1,1
11341,Yes,2022,31,admin.,divorced,high.school,no,no,telephone,246,1,0
11342,Yes,2022,41,management,married,basic.6y,no,no,telephone,529,2,0
11343,Yes,2022,39,admin.,married,university.degree,yes,yes,telephone,192,1,0
11344,Yes,2022,49,technician,married,basic.9y,no,no,telephone,1467,1,0
11345,Yes,2022,34,admin.,married,high.school,yes,no,telephone,188,2,0
11346,Yes,2022,35,admin.,married,university.degree,yes,no,telephone,180,2,0
11347,Yes,2022,57,unknown,married,unknown,yes,no,telephone,48,1,0
11348,Yes,2022,60,admin.,married,unknown,no,yes,telephone,213,2,0
11349,Yes,2022,33,unemployed,married,basic.9y,no,no,telephone,545,1,0
11350,Yes,2022,42,blue-collar,married,basic.6y,no,yes,telephone,583,1,0
11351,Yes,2022,45,services,married,professional.course,yes,no,telephone,221,1,0
11352,Yes,2022,42,management,married,university.degree,no,no,telephone,426,1,0
11353,Yes,2022,53,admin.,divorced,university.degree,no,no,telephone,287,1,0
11354,Yes,2022,37,technician,single,professional.course,no,no,telephone,197,1,0
11355,Yes,2022,44,blue-collar,married,basic.6y,no,no,telephone,257,1,0
11356,Yes,2022,54,services,married,unknown,yes,no,telephone,229,1,0
11357,Yes,2022,49,blue-collar,married,basic.4y,no,no,telephone,55,3,1
11358,Yes,2022,54,services,married,unknown,no,no,telephone,400,1,0
11359,Yes,2022,52,admin.,divorced,university.degree,no,no,telephone,197,1,0
11360,Yes,2022,52,admin.,divorced,university.degree,no,no,telephone,190,1,0
11361,Yes,2022,43,services,single,high.school,no,no,telephone,21,1,1
11362,Yes,2022,34,housemaid,married,basic.6y,yes,no,telephone,300,2,0
11363,Yes,2022,35,admin.,married,high.school,yes,no,telephone,123,2,0
11364,Yes,2022,42,entrepreneur,married,unknown,yes,no,telephone,293,1,0
11365,Yes,2022,43,technician,married,unknown,yes,yes,telephone,325,1,0
11366,Yes,2022,60,retired,divorced,university.degree,no,no,telephone,514,1,0
11367,Yes,2022,58,unemployed,married,basic.4y,no,no,telephone,849,2,0
11368,Yes,2022,35,services,divorced,high.school,yes,no,telephone,194,1,0
11369,Yes,2022,55,blue-collar,married,basic.9y,yes,no,telephone,212,2,0
11370,Yes,2022,37,management,married,university.degree,no,no,telephone,337,2,0
11371,Yes,2022,36,blue-collar,married,high.school,no,no,telephone,286,1,0
11372,Yes,2022,52,admin.,divorced,university.degree,no,no,telephone,247,2,0
11373,Yes,2022,57,blue-collar,divorced,unknown,yes,no,telephone,518,1,0
11374,Yes,2022,56,admin.,married,unknown,yes,no,telephone,364,1,0
11375,Yes,2022,48,blue-collar,divorced,basic.4y,yes,no,telephone,178,1,0
11376,Yes,2022,40,blue-collar,married,high.school,yes,no,telephone,98,1,0
11377,Yes,2022,49,blue-collar,divorced,high.school,no,no,telephone,439,1,0
11378,Yes,2022,41,services,married,high.school,no,no,telephone,139,1,1
11379,Yes,2022,45,technician,married,high.school,yes,no,telephone,79,1,0
11380,Yes,2022,32,admin.,married,university.degree,yes,yes,telephone,175,1,0
11381,Yes,2022,42,admin.,married,university.degree,no,yes,telephone,262,2,0
11382,Yes,2022,50,admin.,married,basic.6y,no,no,telephone,61,1,1
11383,Yes,2022,31,technician,divorced,professional.course,yes,yes,telephone,78,1,0
11384,Yes,2022,56,retired,married,basic.4y,yes,no,telephone,102,2,0
11385,Yes,2022,41,technician,married,professional.course,yes,no,telephone,579,1,0
11386,Yes,2022,37,blue-collar,married,basic.6y,yes,yes,telephone,143,1,0
11387,Yes,2022,41,technician,married,professional.course,no,no,telephone,677,1,0
11388,Yes,2022,35,blue-collar,married,unknown,yes,no,telephone,267,1,0
11389,Yes,2022,37,blue-collar,married,basic.6y,yes,no,telephone,345,1,0
11390,Yes,2022,52,management,married,university.degree,no,no,telephone,185,1,0
11391,Yes,2022,39,management,divorced,university.degree,no,no,telephone,207,1,0
11392,Yes,2022,39,housemaid,married,basic.4y,no,no,telephone,69,2,1
11393,Yes,2022,56,blue-collar,married,basic.4y,no,no,telephone,100,2,1
11394,Yes,2022,34,services,married,high.school,yes,no,telephone,125,2,0
11395,Yes,2022,45,blue-collar,married,basic.9y,yes,no,telephone,461,1,0
11396,Yes,2022,43,unemployed,single,university.degree,yes,no,telephone,240,1,0
11397,Yes,2022,56,management,married,unknown,yes,no,telephone,70,1,0
11398,Yes,2022,39,management,married,university.degree,yes,no,telephone,193,1,0
11399,Yes,2022,53,blue-collar,married,basic.4y,yes,no,telephone,136,1,0
11400,Yes,2022,38,unknown,divorced,high.school,yes,no,telephone,73,1,0
11401,Yes,2022,42,blue-collar,married,basic.4y,yes,no,telephone,528,1,0
11402,Yes,2022,42,blue-collar,married,basic.4y,no,no,telephone,541,1,0
11403,Yes,2022,35,admin.,single,high.school,yes,no,telephone,338,1,0
11404,Yes,2022,40,admin.,married,university.degree,yes,no,telephone,163,1,0
11405,Yes,2022,51,blue-collar,married,basic.4y,yes,no,telephone,87,1,0
11406,Yes,2022,60,blue-collar,married,basic.9y,no,no,telephone,301,1,0
11407,Yes,2022,56,entrepreneur,married,unknown,yes,no,telephone,46,1,0
11408,Yes,2022,39,services,divorced,high.school,yes,no,telephone,52,1,0
11409,Yes,2022,56,entrepreneur,married,unknown,no,no,telephone,204,1,0
11410,Yes,2022,40,blue-collar,married,unknown,yes,yes,telephone,155,1,0
11411,Yes,2022,36,blue-collar,married,basic.9y,yes,yes,telephone,98,1,0
11412,Yes,2022,51,blue-collar,married,unknown,yes,no,telephone,71,1,0
11413,Yes,2022,51,blue-collar,married,unknown,no,no,telephone,243,1,0
11414,Yes,2022,43,technician,single,professional.course,yes,no,telephone,186,2,0
11415,Yes,2022,59,services,married,high.school,no,no,telephone,579,2,0
11416,Yes,2022,24,management,single,university.degree,yes,no,telephone,165,2,0
11417,Yes,2022,37,blue-collar,single,basic.9y,yes,yes,telephone,163,2,0
11418,Yes,2022,40,blue-collar,married,basic.9y,no,no,telephone,46,1,1
11419,Yes,2022,42,blue-collar,married,basic.9y,no,no,telephone,559,3,1
11420,Yes,2022,39,services,divorced,high.school,no,no,telephone,2033,1,0
11421,Yes,2022,37,entrepreneur,married,basic.6y,no,no,telephone,85,1,1
11422,Yes,2022,38,services,married,high.school,yes,yes,telephone,506,1,0
11423,Yes,2022,56,admin.,divorced,unknown,no,no,telephone,114,2,1
11424,Yes,2022,40,blue-collar,married,unknown,no,no,telephone,114,2,1
11425,Yes,2022,54,management,divorced,university.degree,yes,no,telephone,843,2,0
11426,Yes,2022,43,blue-collar,married,high.school,no,yes,telephone,181,1,0
11427,Yes,2022,36,services,married,high.school,no,no,telephone,427,1,0
11428,Yes,2022,45,technician,married,university.degree,yes,yes,telephone,292,1,0
11429,Yes,2022,42,admin.,single,university.degree,no,no,telephone,192,1,0
11430,Yes,2022,43,services,married,high.school,no,no,telephone,93,3,1
11431,Yes,2022,46,management,married,basic.9y,no,no,telephone,128,2,1
11432,Yes,2022,44,services,married,high.school,yes,yes,telephone,107,1,0
11433,Yes,2022,51,admin.,single,basic.6y,no,no,telephone,303,2,0
11434,Yes,2022,28,services,married,high.school,yes,no,telephone,81,1,0
11435,Yes,2022,37,blue-collar,married,basic.9y,no,no,telephone,270,1,0
11436,Yes,2022,34,technician,married,high.school,no,no,telephone,228,1,0
11437,Yes,2022,46,blue-collar,married,basic.6y,yes,no,telephone,240,1,0
11438,Yes,2022,42,blue-collar,married,basic.9y,yes,yes,telephone,673,2,0
11439,Yes,2022,36,admin.,married,university.degree,yes,no,telephone,233,3,0
11440,Yes,2022,54,blue-collar,married,basic.4y,no,no,telephone,102,1,1
11441,Yes,2022,57,management,married,university.degree,no,no,telephone,461,1,0
11442,Yes,2022,51,technician,married,basic.6y,no,no,telephone,250,1,0
11443,Yes,2022,54,retired,married,high.school,no,no,telephone,130,1,1
11444,Yes,2022,49,blue-collar,married,basic.4y,no,no,telephone,252,1,0
11445,Yes,2022,34,admin.,married,university.degree,yes,no,telephone,138,1,0
11446,Yes,2022,41,technician,married,professional.course,no,no,telephone,412,1,0
11447,Yes,2022,38,blue-collar,single,basic.9y,yes,no,telephone,179,2,0
11448,Yes,2022,45,management,divorced,university.degree,no,no,telephone,19,2,1
11449,Yes,2022,42,technician,married,university.degree,no,no,telephone,228,2,0
11450,Yes,2022,34,blue-collar,single,basic.9y,yes,no,telephone,55,1,0
11451,Yes,2022,48,blue-collar,married,basic.4y,yes,no,telephone,717,1,0
11452,Yes,2022,37,admin.,married,high.school,yes,no,telephone,313,1,0
11453,Yes,2022,34,blue-collar,single,basic.9y,no,no,telephone,289,1,0
11454,Yes,2022,40,admin.,married,basic.9y,yes,no,telephone,683,2,0
11455,Yes,2022,43,blue-collar,married,basic.6y,yes,no,telephone,1077,1,0
11456,Yes,2022,33,services,married,high.school,no,no,telephone,146,2,1
11457,Yes,2022,32,services,single,basic.6y,no,no,telephone,167,1,1
11458,Yes,2022,39,blue-collar,married,high.school,yes,no,telephone,356,2,0
11459,Yes,2022,43,admin.,married,unknown,no,no,telephone,277,1,0
11460,Yes,2022,44,blue-collar,married,basic.9y,yes,no,telephone,172,1,0
11461,Yes,2022,35,student,single,university.degree,no,no,telephone,218,1,0
11462,Yes,2022,35,student,single,university.degree,yes,yes,telephone,217,1,0
11463,Yes,2022,35,unemployed,married,professional.course,no,no,telephone,67,1,1
11464,Yes,2022,36,services,single,basic.4y,no,no,telephone,291,1,0
11465,Yes,2022,35,student,single,university.degree,yes,no,telephone,248,1,0
11466,Yes,2022,36,student,single,basic.9y,yes,no,telephone,256,1,0
11467,Yes,2022,55,housemaid,divorced,university.degree,no,no,telephone,286,1,0
11468,Yes,2022,59,admin.,married,university.degree,no,no,telephone,477,1,0
11469,Yes,2022,57,retired,married,unknown,no,no,telephone,611,2,0
11470,Yes,2022,39,blue-collar,married,professional.course,yes,no,telephone,471,1,0
11471,Yes,2022,39,housemaid,married,basic.4y,yes,no,telephone,381,2,0
11472,Yes,2022,30,blue-collar,single,unknown,yes,no,telephone,251,1,0
11473,Yes,2022,30,blue-collar,single,unknown,yes,yes,telephone,408,1,0
11474,Yes,2022,50,housemaid,married,basic.4y,no,no,telephone,287,1,0
11475,Yes,2022,40,services,married,high.school,no,no,telephone,322,3,1
11476,Yes,2022,35,admin.,married,high.school,yes,no,telephone,216,2,0
11477,Yes,2022,43,technician,married,unknown,no,no,telephone,366,2,0
11478,Yes,2022,36,services,single,basic.6y,yes,no,telephone,210,1,0
11479,Yes,2022,46,technician,married,basic.4y,yes,no,telephone,288,1,0
11480,Yes,2022,40,technician,married,basic.9y,no,no,telephone,168,1,1
11481,Yes,2022,58,retired,married,university.degree,no,no,telephone,132,1,0
11482,Yes,2022,42,technician,married,university.degree,no,no,telephone,64,2,0
11483,Yes,2022,35,admin.,single,university.degree,no,no,telephone,209,2,0
11484,Yes,2022,43,retired,married,basic.4y,no,no,telephone,410,3,1
11485,Yes,2022,45,blue-collar,married,basic.4y,yes,yes,telephone,177,1,0
11486,Yes,2022,39,admin.,married,professional.course,yes,no,telephone,580,2,0
11487,Yes,2022,50,services,divorced,professional.course,yes,no,telephone,165,1,0
11488,Yes,2022,32,management,divorced,basic.4y,yes,no,telephone,127,2,0
11489,Yes,2022,39,admin.,married,high.school,no,no,telephone,357,1,0
11490,Yes,2022,52,self-employed,married,university.degree,no,no,telephone,175,1,0
11491,Yes,2022,44,admin.,married,professional.course,yes,no,telephone,300,1,0
11492,Yes,2022,56,blue-collar,married,basic.4y,no,no,telephone,136,1,1
11493,Yes,2022,48,admin.,married,high.school,no,no,telephone,125,2,1
11494,Yes,2022,33,services,married,high.school,no,yes,telephone,189,2,0
11495,Yes,2022,43,management,married,university.degree,no,yes,telephone,213,3,1
11496,Yes,2022,57,retired,married,high.school,no,no,telephone,238,2,0
11497,Yes,2022,36,technician,single,professional.course,no,no,telephone,124,1,1
11498,Yes,2022,34,management,married,university.degree,yes,no,telephone,18,1,0
11499,Yes,2022,34,services,single,basic.9y,no,no,telephone,730,2,0
11500,Yes,2022,30,technician,married,university.degree,no,no,telephone,40,1,0
11501,Yes,2022,33,services,divorced,unknown,no,no,telephone,181,2,0
11502,Yes,2022,32,technician,single,professional.course,no,no,telephone,79,1,1
11503,Yes,2022,36,technician,single,high.school,yes,no,telephone,142,2,0
11504,Yes,2022,36,blue-collar,single,high.school,no,yes,telephone,389,1,0
11505,Yes,2022,33,services,single,high.school,no,no,telephone,702,1,0
11506,Yes,2022,40,technician,divorced,professional.course,no,no,telephone,151,1,1
11507,Yes,2022,41,blue-collar,married,basic.4y,yes,no,telephone,211,1,0
11508,Yes,2022,51,services,married,basic.6y,yes,no,telephone,117,1,0
11509,Yes,2022,36,technician,married,professional.course,yes,no,telephone,232,3,1
11510,Yes,2022,28,services,married,unknown,no,no,telephone,408,2,0
11511,Yes,2022,53,services,married,high.school,yes,yes,telephone,370,3,1
11512,Yes,2022,58,blue-collar,married,basic.9y,yes,no,telephone,179,2,0
11513,Yes,2022,45,management,married,basic.9y,no,yes,telephone,46,1,1
11514,Yes,2022,43,technician,married,unknown,yes,no,telephone,200,1,0
11515,Yes,2022,33,admin.,married,high.school,no,yes,telephone,50,1,1
11516,Yes,2022,33,admin.,married,high.school,no,yes,telephone,181,1,0
11517,Yes,2022,27,blue-collar,single,basic.6y,unknown,unknown,telephone,119,1,1
11518,Yes,2022,42,technician,married,high.school,no,no,telephone,361,1,0
11519,Yes,2022,43,admin.,divorced,basic.9y,no,no,telephone,73,3,1
11520,Yes,2022,42,admin.,married,university.degree,no,no,telephone,67,2,0
11521,Yes,2022,27,blue-collar,single,basic.6y,no,no,telephone,350,1,0
11522,Yes,2022,34,self-employed,single,university.degree,yes,no,telephone,150,2,0
11523,Yes,2022,31,student,single,university.degree,no,no,telephone,332,2,0
11524,Yes,2022,54,management,divorced,university.degree,no,no,telephone,611,2,0
11525,Yes,2022,40,self-employed,married,basic.4y,no,no,telephone,58,3,1
11526,Yes,2022,52,unemployed,married,high.school,yes,no,telephone,151,1,0
11527,Yes,2022,47,management,divorced,university.degree,no,no,telephone,89,2,1
11528,Yes,2022,49,housemaid,married,basic.9y,no,no,telephone,152,1,1
11529,Yes,2022,32,admin.,single,high.school,no,no,telephone,611,2,0
11530,Yes,2022,49,housemaid,single,high.school,yes,yes,telephone,110,2,0
11531,Yes,2022,50,blue-collar,married,basic.9y,no,no,telephone,463,1,0
11532,Yes,2022,34,services,married,high.school,no,no,telephone,962,1,0
11533,Yes,2022,55,blue-collar,married,basic.4y,no,no,telephone,102,2,1
11534,Yes,2022,47,technician,single,basic.9y,no,no,telephone,10,4,1
11535,Yes,2022,51,retired,married,professional.course,no,no,telephone,118,3,1
11536,Yes,2022,47,blue-collar,married,basic.6y,no,no,telephone,92,2,1
11537,Yes,2022,56,technician,married,basic.4y,yes,no,telephone,143,3,1
11538,Yes,2022,53,admin.,married,basic.9y,no,no,telephone,189,3,1
11539,Yes,2022,36,blue-collar,married,basic.9y,yes,no,telephone,75,2,0
11540,Yes,2022,42,blue-collar,divorced,basic.9y,yes,no,telephone,189,2,0
11541,Yes,2022,44,blue-collar,divorced,basic.6y,no,no,telephone,55,2,1
11542,Yes,2022,39,housemaid,married,basic.9y,yes,no,telephone,935,3,1
11543,Yes,2022,37,admin.,single,high.school,yes,yes,telephone,56,2,0
11544,Yes,2022,60,blue-collar,married,unknown,yes,no,telephone,5,2,0
11545,Yes,2022,36,services,married,high.school,no,no,telephone,225,2,0
11546,Yes,2022,42,management,divorced,university.degree,yes,no,telephone,125,2,0
11547,Yes,2022,31,admin.,married,high.school,yes,yes,telephone,286,2,0
11548,Yes,2022,53,technician,divorced,professional.course,no,yes,telephone,206,2,0
11549,Yes,2022,45,blue-collar,married,basic.4y,yes,no,telephone,164,2,0
11550,Yes,2022,37,technician,single,professional.course,yes,no,telephone,98,2,0
11551,Yes,2022,47,self-employed,married,professional.course,no,no,telephone,446,2,0
11552,Yes,2022,49,blue-collar,divorced,high.school,no,yes,telephone,742,2,0
11553,Yes,2022,36,admin.,married,university.degree,yes,no,telephone,120,2,0
11554,Yes,2022,35,services,divorced,high.school,no,no,telephone,122,3,1
11555,Yes,2022,38,unknown,married,unknown,no,no,telephone,362,4,1
11556,Yes,2022,38,services,single,high.school,no,no,telephone,357,2,0
11557,Yes,2022,50,blue-collar,divorced,high.school,no,yes,telephone,200,2,0
11558,Yes,2022,59,retired,married,professional.course,no,no,telephone,107,2,0
11559,Yes,2022,43,unknown,married,unknown,yes,no,telephone,267,2,0
11560,Yes,2022,42,admin.,married,high.school,yes,no,telephone,248,2,0
11561,Yes,2022,40,admin.,married,basic.6y,yes,no,telephone,215,2,0
11562,Yes,2022,46,blue-collar,married,unknown,no,no,telephone,209,2,0
11563,Yes,2022,57,housemaid,divorced,basic.4y,yes,yes,telephone,205,2,0
11564,Yes,2022,42,admin.,married,university.degree,yes,no,telephone,261,3,0
11565,Yes,2022,41,blue-collar,married,basic.4y,yes,no,telephone,83,2,0
11566,Yes,2022,54,management,divorced,university.degree,yes,no,telephone,106,3,1
11567,Yes,2022,27,admin.,single,university.degree,no,no,telephone,106,2,1
11568,Yes,2022,36,admin.,married,high.school,no,no,telephone,108,2,1
11569,Yes,2022,58,blue-collar,married,professional.course,yes,no,telephone,214,2,0
11570,Yes,2022,40,management,married,university.degree,yes,no,telephone,358,2,0
11571,Yes,2022,34,admin.,single,basic.9y,no,no,telephone,453,2,0
11572,Yes,2022,33,admin.,divorced,high.school,no,no,telephone,364,2,0
11573,Yes,2022,56,retired,married,basic.6y,no,no,telephone,136,2,1
11574,Yes,2022,42,blue-collar,married,basic.9y,no,no,telephone,173,2,1
11575,Yes,2022,43,services,married,high.school,yes,no,telephone,241,2,0
11576,Yes,2022,54,management,single,basic.9y,yes,no,telephone,224,3,1
11577,Yes,2022,53,admin.,single,basic.6y,yes,yes,telephone,148,2,0
11578,Yes,2022,42,technician,single,unknown,no,no,telephone,230,2,0
11579,Yes,2022,40,services,married,basic.6y,no,no,telephone,199,3,1
11580,Yes,2022,54,technician,married,professional.course,yes,yes,telephone,196,2,0
11581,Yes,2022,40,housemaid,single,professional.course,no,no,telephone,111,4,1
11582,Yes,2022,26,admin.,single,university.degree,yes,no,telephone,231,3,1
11583,Yes,2022,33,admin.,married,high.school,no,no,telephone,316,3,1
11584,Yes,2022,35,blue-collar,married,basic.9y,no,no,telephone,240,2,0
11585,Yes,2022,36,admin.,married,high.school,no,no,telephone,669,3,1
11586,Yes,2022,29,services,single,high.school,yes,no,telephone,425,2,0
11587,Yes,2022,36,blue-collar,married,basic.9y,yes,no,telephone,121,2,0
11588,Yes,2022,35,management,married,high.school,yes,no,telephone,174,5,1
11589,Yes,2022,50,self-employed,single,university.degree,no,yes,telephone,88,5,1
11590,Yes,2022,46,services,married,high.school,yes,no,telephone,313,3,1
11591,Yes,2022,49,entrepreneur,married,high.school,yes,no,telephone,135,4,1
11592,Yes,2022,42,technician,single,professional.course,yes,no,telephone,152,2,0
11593,Yes,2022,36,blue-collar,single,high.school,yes,yes,telephone,402,3,1
11594,Yes,2022,55,blue-collar,married,basic.9y,yes,no,telephone,221,2,0
11595,Yes,2022,41,management,married,university.degree,no,no,telephone,213,2,0
11596,Yes,2022,57,management,married,professional.course,yes,no,telephone,144,3,1
11597,Yes,2022,32,services,single,high.school,yes,no,telephone,158,3,1
11598,Yes,2022,49,admin.,married,basic.9y,no,no,telephone,220,3,1
11599,Yes,2022,57,unknown,married,unknown,yes,no,telephone,325,2,0
11600,Yes,2022,58,blue-collar,divorced,basic.4y,yes,no,telephone,254,2,0
11601,Yes,2022,52,technician,married,high.school,yes,no,telephone,503,2,0
11602,Yes,2022,50,services,divorced,professional.course,no,no,telephone,680,2,0
11603,Yes,2022,41,blue-collar,single,basic.9y,yes,no,telephone,421,4,1
11604,Yes,2022,33,entrepreneur,married,university.degree,yes,no,telephone,130,3,1
11605,Yes,2022,57,blue-collar,married,basic.4y,no,no,telephone,164,2,1
11606,Yes,2022,48,blue-collar,married,basic.6y,no,no,telephone,174,3,1
11607,Yes,2022,55,technician,married,professional.course,no,no,telephone,113,2,1
11608,Yes,2022,38,management,married,university.degree,no,no,telephone,195,2,0
11609,Yes,2022,38,services,married,high.school,yes,no,telephone,347,3,1
11610,Yes,2022,53,admin.,married,university.degree,yes,no,telephone,208,2,0
11611,Yes,2022,43,unemployed,single,university.degree,no,no,telephone,404,4,1
11612,Yes,2022,36,blue-collar,single,high.school,no,no,telephone,396,2,0
11613,Yes,2022,32,blue-collar,married,basic.9y,no,no,telephone,98,2,1
11614,Yes,2022,33,services,married,basic.4y,no,no,telephone,229,3,1
11615,Yes,2022,58,entrepreneur,married,basic.4y,yes,no,telephone,350,2,0
11616,Yes,2022,40,unemployed,divorced,high.school,no,no,telephone,88,3,1
11617,Yes,2022,57,management,married,university.degree,yes,no,telephone,379,2,0
11618,Yes,2022,45,technician,married,high.school,yes,no,telephone,168,3,1
11619,Yes,2022,42,blue-collar,married,basic.4y,yes,no,telephone,190,3,1
11620,Yes,2022,46,admin.,married,university.degree,yes,no,telephone,158,1,0
11621,Yes,2022,36,technician,married,university.degree,no,no,telephone,210,1,0
